Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1700,505,264,3905,364.19,0.118%,3.34448,1.60,0.38,488.8
TOTAL,1700,505,264,3905,364.19,0.118%,3.34448,1.60,0.38,488.8
